,w475959205,w475960231,w477684043,w526337678,w533804140,w541438316,w541914139,w574606561,w592870302,w633724575,w246792829,w469681591,w471892367,w482824940,w506294760,w533818162,w534573301,w592487869,w592781545,w1083279101,w538115135,w539744154,w1086210743,w1086210744,w541965088,w541965085,w534572399,w534572395,w534565230,w535349143
6104,536.2964,770.6218,547.1025999999999,562.9501999999999,521.4879999999999,536.3412,696.0623999999999,532.7242,527.9314,672.7994,504.1712,532.7017999999999,658.9405999999999,550.9233999999999,485.4524,761.7596,571.3376,505.618,426.9668,494.337,603.96,528.6548,510.637,617.3888,719.5740000000001,498.4064,709.4688,712.5885999999999,622.6787999999999,499.898
6105,701.6019000000001,908.7161,703.1626,706.3461,651.4482,674.7676999999999,823.9868000000001,683.1922,676.5354,802.435,665.0516,696.6093,758.9794999999999,716.5382999999999,655.1906,893.7176000000001,717.9955,661.6818,582.0279,656.7719999999999,744.4778,674.8505,676.7217,757.75,840.5045999999999,665.1137,850.6761,852.3195999999999,754.3388000000001,634.9096999999999
6106,843.0704000000001,1014.5844,834.7096,824.2700000000001,756.7604000000001,788.3832,921.6732,809.3992000000001,800.9624,902.6296,802.95,836.7428,828.9444,857.8652,802.8588,993.5076,839.0344,794.5436,716.336,796.592,858.1236,796.7592,819.8084000000001,870.8091999999999,930.2012,809.232,961.7024,961.7176,858.2148,746.1384
6107,885.4409,987.8016,868.4360999999999,845.9305999999999,778.1982,812.3947000000001,904.0408,842.4116999999999,833.7369000000001,891.1865,849.2336,878.9348,800.2879999999999,897.2897999999998,859.2296,964.4486,861.1115,837.2267999999999,775.3109,846.0595,868.9678,827.7335,868.2492,878.648,902.7196,860.7376999999999,950.2441,948.5781,858.9718,775.6847
6108,872.6581000000001,904.423,848.7059000000002,816.4252000000001,752.7522000000001,787.1822999999999,834.426,823.6583,815.3091000000002,828.1227,842.3612,866.3962,726.9817999999999,881.028,861.0848000000001,880.4294,831.0363,827.7708,784.8672999999999,842.3405,827.9778,808.0138999999999,862.1802,834.2604,824.0516,857.9849,883.4465,880.3259,809.2542000000001,757.9187
6109,797.9445000000001,759.7175,769.4230000000001,730.5915,676.239,707.9435,708.8300000000002,747.451,740.1270000000001,709.3090000000001,775.874,792.4515000000001,607.0685,802.2825,801.311,737.1680000000001,743.4085,760.0710000000001,738.9585,778.86,730.2110000000001,732.2255,794.7615000000001,732.718,690.717,794.0855000000001,756.3375,752.098,704.7740000000001,688.2815
6110,684.371,578.0627000000001,652.5035,608.7881,566.0108,593.663,548.3516000000001,634.5215000000001,628.5275,555.5639,671.4236,679.8755,456.5441,684.5110999999999,702.4718,557.903,619.2775999999999,655.0802,656.5573999999999,677.2774999999999,596.5412,620.3557999999999,688.5862999999999,595.1828,523.2974,691.4432,592.3471999999999,587.1725,565.4929999999999,584.3918
6111,484.0202,338.2699,455.7043,416.5961,393.0640000000001,411.3666,333.7632,445.0231,441.4627,345.5567,481.9616,481.3499,269.8433,480.3487,511.6682,324.4178,422.8268000000001,468.499,490.0274,489.1935,396.18000000000006,434.7314,494.0335,391.6184,307.617,499.4852,365.5284,360.5773,366.4734,413.369
6112,247.9802,111.5755,228.8603,202.25690000000003,197.0904,204.8066,124.748,225.5711,224.4747,136.6999,253.58640000000003,247.15790000000004,94.6641,242.6895,275.2146,105.2298,204.17560000000003,245.2806,274.7906,259.9735,181.4096,220.3218,259.3839,175.84480000000002,104.2162,265.2228,140.77,137.1653,159.78140000000002,213.7434
6113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
