w246792829,w469681591,w482824940,w506294760,w592487869
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
124.96079999999998,146.36319999999998,159.6786,127.8936,118.266
200.066,219.9388,232.3452,200.7428,194.7876
395.718,451.696,486.622,398.61,380.398
528.8752,588.9748,626.2693999999999,541.7224,507.96199999999993
607.9592,667.4823,704.2009,631.1594,582.4449999999999
592.732,643.1036,673.9644000000001,622.5616,566.4672
558.1143999999999,603.2324,630.6429999999999,595.9456,529.4956
425.25479999999993,457.8308,477.401,463.1652,399.7352
238.7576,255.9749,266.13469999999995,267.6062,221.231
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
41.1908,43.25020000000001,44.5366,41.2256,40.66
98.906,99.9518,100.6222,98.1008,99.0136
176.2808,179.16649999999998,180.9883,175.4054,175.9606
114.422,113.378,112.744,113.534,115.09
151.7536,150.55190000000002,149.8237,150.6562,152.55700000000002
85.1092,84.3336,83.8626,84.4492,85.60560000000001
90.784,89.9567,89.45429999999999,90.0802,91.3134
122.1508,122.8249,123.2239,123.2218,121.4914
52.0344,52.5482,52.845200000000006,53.192400000000006,51.37520000000001
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0
59.69840000000001,65.15960000000001,68.5618,60.22880000000001,58.09
146.8552,154.7373,159.6719,146.4574,145.067
106.8628,105.8883,105.29649999999998,106.0342,107.4862
73.7644,73.0919,72.6835,73.1926,74.19460000000001
163.5548,162.42950000000002,161.7493,162.4454,164.3446
50.118,49.6612,49.3838,49.729200000000006,50.4104
48.2252,47.7852,47.518,47.8508,48.5068
47.284400000000005,46.852,46.5894,46.91720000000001,47.5608
