Time,Hourly Residential Net Cost (€),Hourly Industrial Net Cost (€),Hourly Commercial Net Cost (€),Total Net Cost (€)
2019-03-09 14:00:00,-147.67353304563602,3.8854353150000014,22.15320368,-121.63489405063602
2019-03-09 15:00:00,-25.246555699120027,6.366979146254,34.752595933468,15.873019380601974
2019-03-09 16:00:00,84.085257612128,10.337614254367999,55.56188487319999,149.984756739696
2019-03-09 17:00:00,210.6232,12.716271999999998,69.72516,293.064632
2019-03-09 18:00:00,301.787374,17.36328244,99.9045285,419.05518494
2019-03-09 19:00:00,342.944847,18.95044788,113.52593069999999,475.42122558
2019-03-09 20:00:00,263.595357,14.068192320000001,87.25567724999999,364.91922657
2019-03-09 21:00:00,206.276952,11.25353502,68.28437315,285.81486017
2019-03-09 22:00:00,183.262755,10.1572536,60.666021,254.0860296
2019-03-09 23:00:00,155.97054000000003,9.3572556,51.630595500000005,216.95839110000003
2019-03-10 00:00:00,116.389168,7.67641712,38.52767495,162.59326006999999
2019-03-10 01:00:00,103.90176000000001,7.40259768,34.395811800000004,145.70016948
2019-03-10 02:00:00,96.900492,7.154905680000001,32.0761233,136.13152098
2019-03-10 03:00:00,94.767792,7.256635119999999,31.3703334,133.39476052
2019-03-10 04:00:00,94.84894800000001,7.31759832,31.39716195,133.56370827
2019-03-10 05:00:00,110.006664,8.62437792,36.4150062,155.04604812
2019-03-10 06:00:00,67.01512448960001,9.9372170247,42.2204440525,119.17278556680002
2019-03-10 07:00:00,-34.26040676413599,10.215756493277999,44.343589468835994,20.298939197978
2019-03-10 08:00:00,-121.08054971631204,12.48706637907,55.507997745039994,-53.08548559220204
2019-03-10 09:00:00,-169.52776130531603,8.991303111,43.592959519199994,-116.94349867511603
2019-03-10 10:00:00,-169.28513547100798,8.821886079979999,46.04368445382,-114.41956493720798
2019-03-10 11:00:00,-178.12015465862,8.752437271344997,48.71407747048999,-120.65363991678501
2019-03-10 12:00:00,-58.73284526344799,7.61247729,43.840534600000005,-7.279833373447985
2019-03-10 13:00:00,-4.423447617720004,3.9751047657,22.737741100799997,22.289398248779992
2019-03-10 14:00:00,-25.977975378815998,5.330965506999999,30.250943197999998,9.603933326183999
2019-03-10 15:00:00,-1.3227525619080063,7.549801192359999,41.039027675296005,47.266076305748
2019-03-10 16:00:00,126.64909040081999,10.275154033285,54.24297746081,191.167221894915
2019-03-10 17:00:00,167.313625,10.629767999999999,55.387845,233.331238
2019-03-10 18:00:00,205.005024,12.300873760000002,67.86141319999999,285.16731096
2019-03-10 19:00:00,218.22090000000003,12.540354,72.23929500000001,303.00054900000003
2019-03-10 20:00:00,208.981344,12.24203552,69.1800824,290.40346192000004
2019-03-10 21:00:00,171.491808,10.48942748,56.769902099999996,238.75113757999998
2019-03-10 22:00:00,151.873055,9.7329425,50.276062,211.8820595
2019-03-10 23:00:00,120.257,8.20758,39.80883,168.27341
2019-03-11 00:00:00,72.68233200000002,5.70750288,24.0601854,102.45002028000002
2019-03-11 01:00:00,73.457268,6.05610332,24.3163672,103.82973852
2019-03-11 02:00:00,74.107033,6.2572186599999995,24.53293535,104.89718701000001
2019-03-11 03:00:00,79.56788,6.7634362600000015,26.3389658,112.67028206
2019-03-11 04:00:00,86.987007,7.711189020000001,28.79543745,123.49363347000002
2019-03-11 05:00:00,102.307428,8.933056920000002,33.866816400000005,145.10730132
2019-03-11 06:00:00,85.866771738152,11.133933529902,42.351434594768,139.35213986282199
2019-03-11 07:00:00,143.50807155216,15.286804214304,56.201700430008,214.996576196472
2019-03-11 08:00:00,166.957806748656,20.614273716189995,66.47057311325199,254.04265357809797
2019-03-11 09:00:00,94.68017487719997,19.980765317699998,64.9802495628,179.64118975769998
2019-03-11 10:00:00,48.84057056,10.470163880000001,35.66078455,94.97151899
2019-03-11 11:00:00,32.479076182,7.364916387499999,25.978974944999997,65.8229675145
2019-03-11 12:00:00,60.88955072,9.934374640000001,37.82309638,108.64702174000001
2019-03-11 13:00:00,83.52020234000001,9.562615495,38.141500150000006,131.22431798500003
2019-03-11 14:00:00,66.24261798239999,10.3321124604,38.555396925000004,115.13012736779999
2019-03-11 15:00:00,18.909632391952005,15.401224913448,55.857488943016,90.16834624841601
2019-03-11 16:00:00,123.98541678479998,21.2890861812,78.5664120096,223.84091497559996
2019-03-11 17:00:00,291.16006600000003,22.6614596,96.3850449,410.2065705
2019-03-11 18:00:00,424.33799999999997,28.955848,140.471835,593.765683
2019-03-11 19:00:00,439.675,27.47614,145.545325,612.696465
2019-03-11 20:00:00,351.8223,21.050238,116.465415,489.33795299999997
2019-03-11 21:00:00,264.866454,16.088784720000003,87.68121,368.63644872
2019-03-11 22:00:00,191.96117999999998,12.1077098,63.543504000000006,267.6123938
2019-03-11 23:00:00,160.447542,10.787448240000002,53.115217650000005,224.35020789
2019-03-12 00:00:00,153.524625,11.903984999999999,50.821749999999994,216.25036
