time,P,G(i),H_sun,T2m,WS10m,Int
20190111:0510,0.0,0.0,0.0,-2.83,1.45,0.0
20190111:0610,0.0,0.0,0.0,-3.22,1.45,0.0
20190111:0710,15.76,30.07,4.97,-2.22,1.38,0.0
20190111:0810,27.58,44.65,13.36,-3.44,1.66,0.0
20190111:0910,91.93,137.03,20.05,-3.05,1.79,0.0
20190111:1010,202.39,262.62,24.48,-0.11,1.93,0.0
20190111:1110,231.59,276.29,26.15,0.95,2.21,0.0
20190111:1210,151.66,185.28,24.83,1.0,1.86,0.0
20190111:1310,140.15,172.36,20.71,0.96,1.79,0.0
20190111:1410,34.86,54.13,14.26,0.66,1.66,0.0
20190111:1510,85.04,111.39,6.04,0.01,1.45,0.0
20190111:1610,0.0,0.0,0.0,-1.96,1.38,0.0
20190111:1710,0.0,0.0,0.0,-2.6,1.31,0.0
20190111:1810,0.0,0.0,0.0,-1.66,1.24,0.0
20190111:1910,0.0,0.0,0.0,-1.43,1.31,0.0
20190111:2010,0.0,0.0,0.0,-1.77,1.31,0.0
20190111:2110,0.0,0.0,0.0,-2.04,1.17,0.0
20190111:2210,0.0,0.0,0.0,-2.28,1.1,0.0
20190111:2310,0.0,0.0,0.0,-2.53,1.03,0.0
20190112:0010,0.0,0.0,0.0,-2.69,1.1,0.0
20190112:0110,0.0,0.0,0.0,-3.22,1.1,0.0
20190112:0210,0.0,0.0,0.0,-3.37,1.17,0.0
20190112:0310,0.0,0.0,0.0,-3.34,1.24,0.0
20190112:0410,0.0,0.0,0.0,-3.28,1.24,0.0
20190112:0510,0.0,0.0,0.0,-3.21,1.24,0.0
20190112:0610,0.0,0.0,0.0,-3.17,1.31,0.0
20190112:0710,9.75,21.87,5.03,-3.37,1.17,0.0
20190112:0810,42.84,62.87,13.45,-2.24,1.24,0.0
20190112:0910,52.36,106.38,20.16,-1.07,1.31,0.0
20190112:1010,197.59,267.22,24.62,-1.6,1.38,0.0
20190112:1110,324.97,394.52,26.3,1.36,1.38,0.0
20190112:1210,407.73,480.62,25.0,1.61,1.38,0.0
20190112:1310,429.82,502.23,20.89,1.75,1.38,0.0
20190112:1410,353.53,411.98,14.44,1.59,1.31,0.0
20190112:1510,243.82,288.95,6.22,0.8,0.97,0.0
20190112:1610,0.0,0.0,0.0,0.73,0.97,0.0
20190112:1710,0.0,0.0,0.0,0.72,0.9,0.0
20190112:1810,0.0,0.0,0.0,0.25,0.9,0.0
20190112:1910,0.0,0.0,0.0,0.09,0.9,0.0
20190112:2010,0.0,0.0,0.0,-0.05,0.83,0.0
20190112:2110,0.0,0.0,0.0,-0.16,0.69,0.0
20190112:2210,0.0,0.0,0.0,-0.23,0.62,0.0
20190112:2310,0.0,0.0,0.0,-0.35,0.55,0.0
20190113:0010,0.0,0.0,0.0,-0.28,0.28,0.0
20190113:0110,0.0,0.0,0.0,-0.19,0.28,0.0
20190113:0210,0.0,0.0,0.0,0.02,0.41,0.0
20190113:0310,0.0,0.0,0.0,0.07,0.48,0.0
20190113:0410,0.0,0.0,0.0,0.23,0.48,0.0
20190113:0510,0.0,0.0,0.0,0.56,0.48,0.0
20190113:0610,0.0,0.0,0.0,0.82,0.62,0.0
20190113:0710,7.03,18.22,5.1,0.87,0.62,0.0
20190113:0810,72.09,97.5,13.54,1.51,0.48,0.0
20190113:0910,109.81,153.18,20.28,2.38,0.55,0.0
20190113:1010,196.64,266.22,24.76,2.27,0.83,0.0
20190113:1110,291.47,353.54,26.47,2.78,1.17,0.0
20190113:1210,380.16,455.29,25.19,5.58,1.52,0.0
20190113:1310,409.69,488.07,21.08,5.64,1.17,0.0
20190113:1410,392.93,467.88,14.63,5.41,0.9,0.0
20190113:1510,272.22,327.37,6.4,4.82,0.76,0.0
20190113:1610,0.0,0.0,0.0,3.61,0.76,0.0
20190113:1710,0.0,0.0,0.0,3.21,0.62,0.0
20190113:1810,0.0,0.0,0.0,2.57,0.55,0.0
20190113:1910,0.0,0.0,0.0,2.26,0.48,0.0
20190113:2010,0.0,0.0,0.0,1.95,0.48,0.0
20190113:2110,0.0,0.0,0.0,1.65,0.69,0.0
20190113:2210,0.0,0.0,0.0,1.24,0.76,0.0
