datetime,date,hour,SUD [Eur/MWh],SUD [Eur/Wh]
2019-01-13 11:00:00,20190113,12,52,"0,0000052"
2019-01-13 12:00:00,20190113,13,62,"0,000006192"
2019-01-13 13:00:00,20190113,14,60,"0,000005957"
2019-01-13 14:00:00,20190113,15,62,"0,0000062"
2019-01-13 15:00:00,20190113,16,64,"0,000006373"
2019-01-13 16:00:00,20190113,17,72,"0,000007211"
2019-01-13 17:00:00,20190113,18,79,"0,000007852"
2019-01-13 18:00:00,20190113,19,81,"0,000008103"
2019-01-13 19:00:00,20190113,20,81,"0,000008103"
2019-01-13 20:00:00,20190113,21,78,"0,00000784"
2019-01-13 21:00:00,20190113,22,75,"0,000007534"
2019-01-13 22:00:00,20190113,23,66,"0,000006595"
2019-01-13 23:00:00,20190113,24,60,"0,000006047"
2019-01-14 00:00:00,20190114,1,53,"0,000005306"
2019-01-14 01:00:00,20190114,2,49,"0,000004911"
2019-01-14 02:00:00,20190114,3,40,"0,000004"
2019-01-14 03:00:00,20190114,4,40,"0,000003999"
2019-01-14 04:00:00,20190114,5,40,"0,000003975"
2019-01-14 05:00:00,20190114,6,47,"0,000004736"
2019-01-14 06:00:00,20190114,7,61,"0,000006112"
2019-01-14 07:00:00,20190114,8,67,"0,000006707"
2019-01-14 08:00:00,20190114,9,74,"0,000007429"
2019-01-14 09:00:00,20190114,10,78,"0,000007768"
2019-01-14 10:00:00,20190114,11,76,"0,000007619"
2019-01-14 11:00:00,20190114,12,74,"0,000007405"
2019-01-14 12:00:00,20190114,13,68,"0,000006781"
2019-01-14 13:00:00,20190114,14,67,"0,000006659"
2019-01-14 14:00:00,20190114,15,69,"0,0000069"
2019-01-14 15:00:00,20190114,16,74,"0,000007404"
2019-01-14 16:00:00,20190114,17,78,"0,000007768"
2019-01-14 17:00:00,20190114,18,81,"0,000008071"
2019-01-14 18:00:00,20190114,19,78,"0,000007821"
2019-01-14 19:00:00,20190114,20,78,"0,000007765"
2019-01-14 20:00:00,20190114,21,72,"0,000007181"
2019-01-14 21:00:00,20190114,22,67,"0,000006659"
2019-01-14 22:00:00,20190114,23,64,"0,000006353"
2019-01-14 23:00:00,20190114,24,59,"0,000005945"
2019-01-15 00:00:00,20190115,1,62,"0,000006214"
2019-01-15 01:00:00,20190115,2,59,"0,000005925"
2019-01-15 02:00:00,20190115,3,53,"0,000005321"
2019-01-15 03:00:00,20190115,4,52,"0,000005243"
2019-01-15 04:00:00,20190115,5,53,"0,000005326"
2019-01-15 05:00:00,20190115,6,58,"0,000005842"
2019-01-15 06:00:00,20190115,7,65,"0,000006505014"
2019-01-15 07:00:00,20190115,8,78,"0,000007765"
2019-01-15 08:00:00,20190115,9,78,"0,000007768"
2019-01-15 09:00:00,20190115,10,78,"0,000007765"
2019-01-15 10:00:00,20190115,11,66,"0,000006553"
2019-01-15 11:00:00,20190115,12,59,"0,000005916"
2019-01-15 12:00:00,20190115,13,58,"0,0000058"
2019-01-15 13:00:00,20190115,14,58,"0,0000058"
2019-01-15 14:00:00,20190115,15,62,"0,000006241"
2019-01-15 15:00:00,20190115,16,73,"0,000007304"
2019-01-15 16:00:00,20190115,17,78,"0,000007821"
2019-01-15 17:00:00,20190115,18,88,"0,000008754"
2019-01-15 18:00:00,20190115,19,86,"0,00000856"
2019-01-15 19:00:00,20190115,20,82,"0,0000082"
2019-01-15 20:00:00,20190115,21,79,"0,000007872"
2019-01-15 21:00:00,20190115,22,78,"0,000007765"
2019-01-15 22:00:00,20190115,23,71,"0,000007084"
2019-01-15 23:00:00,20190115,24,63,"0,000006256"
2019-01-16 00:00:00,20190116,1,67,"0,000006669"
2019-01-16 01:00:00,20190116,2,61,"0,000006134"
2019-01-16 02:00:00,20190116,3,60,"0,000005968"
2019-01-16 03:00:00,20190116,4,59,"0,000005901"
2019-01-16 04:00:00,20190116,5,60,"0,000005954"
2019-01-16 05:00:00,20190116,6,61,"0,000006112"
2019-01-16 06:00:00,20190116,7,71,"0,000007115"
2019-01-16 07:00:00,20190116,8,78,"0,000007765"
2019-01-16 08:00:00,20190116,9,78,"0,000007765"
2019-01-16 09:00:00,20190116,10,75,"0,000007543"
2019-01-16 10:00:00,20190116,11,65,"0,000006495"
2019-01-16 11:00:00,20190116,12,62,"0,000006191"
2019-01-16 12:00:00,20190116,13,62,"0,000006191"
2019-01-16 13:00:00,20190116,14,61,"0,0000061"
2019-01-16 14:00:00,20190116,15,63,"0,000006316"
2019-01-16 15:00:00,20190116,16,67,"0,000006748"
2019-01-16 16:00:00,20190116,17,78,"0,000007765"
2019-01-16 17:00:00,20190116,18,78,"0,000007821"
2019-01-16 18:00:00,20190116,19,78,"0,000007821"
2019-01-16 19:00:00,20190116,20,78,"0,000007768"
2019-01-16 20:00:00,20190116,21,71,"0,000007131"
2019-01-16 21:00:00,20190116,22,67,"0,0000067"
2019-01-16 22:00:00,20190116,23,66,"0,00000659"
2019-01-16 23:00:00,20190116,24,61,"0,000006112"
2019-01-17 00:00:00,20190117,1,59,"0,000005934365"
2019-01-17 01:00:00,20190117,2,58,"0,000005808"
2019-01-17 02:00:00,20190117,3,56,"0,000005626"
2019-01-17 03:00:00,20190117,4,56,"0,000005626"
2019-01-17 04:00:00,20190117,5,57,"0,000005681"
2019-01-17 05:00:00,20190117,6,59,"0,000005915"
2019-01-17 06:00:00,20190117,7,65,"0,0000065"
2019-01-17 07:00:00,20190117,8,68,"0,000006805"
2019-01-17 08:00:00,20190117,9,77,"0,000007733"
2019-01-17 09:00:00,20190117,10,74,"0,0000074"
2019-01-17 10:00:00,20190117,11,64,"0,000006403"
2019-01-17 11:00:00,20190117,12,62,"0,000006241"
2019-01-17 12:00:00,20190117,13,55,"0,000005545"
2019-01-17 13:00:00,20190117,14,61,"0,0000061"
2019-01-17 14:00:00,20190117,15,62,"0,000006241"
2019-01-17 15:00:00,20190117,16,67,"0,000006746"
2019-01-17 16:00:00,20190117,17,78,"0,000007765"
2019-01-17 17:00:00,20190117,18,81,"0,000008071"
2019-01-17 18:00:00,20190117,19,78,"0,000007768"
2019-01-17 19:00:00,20190117,20,78,"0,000007765"
2019-01-17 20:00:00,20190117,21,71,"0,000007084"
2019-01-17 21:00:00,20190117,22,66,"0,000006558"
2019-01-17 22:00:00,20190117,23,64,"0,00000636"
2019-01-17 23:00:00,20190117,24,61,"0,000006112"
2019-01-18 00:00:00,20190118,1,60,"0,000006015"
2019-01-18 01:00:00,20190118,2,59,"0,000005894"
2019-01-18 02:00:00,20190118,3,57,"0,000005699"
2019-01-18 03:00:00,20190118,4,55,"0,0000055"
2019-01-18 04:00:00,20190118,5,57,"0,000005664"
2019-01-18 05:00:00,20190118,6,60,"0,000006"
2019-01-18 06:00:00,20190118,7,63,"0,000006258"
2019-01-18 07:00:00,20190118,8,74,"0,000007381"
2019-01-18 08:00:00,20190118,9,78,"0,000007765"
2019-01-18 09:00:00,20190118,10,77,"0,0000077"
2019-01-18 10:00:00,20190118,11,63,"0,000006258"
2019-01-18 11:00:00,20190118,12,61,"0,000006112"
2019-01-18 12:00:00,20190118,13,61,"0,0000061"
2019-01-18 13:00:00,20190118,14,60,"0,000006015"
2019-01-18 14:00:00,20190118,15,61,"0,000006112"
2019-01-18 15:00:00,20190118,16,63,"0,000006258"
2019-01-18 16:00:00,20190118,17,76,"0,000007588475"
2019-01-18 17:00:00,20190118,18,78,"0,000007821"
2019-01-18 18:00:00,20190118,19,78,"0,000007821"
2019-01-18 19:00:00,20190118,20,78,"0,000007768"
