full_id,osm_id,osm_type,Area
w478161217,478161217,way,"161,67"
w478161218,478161218,way,"229,22"
w478161219,478161219,way,"437,02"
w478161220,478161220,way,"321,06"
w478161221,478161221,way,"165,72"
w478161705,478161705,way,"384,91"
w478161706,478161706,way,"134,65"
w478161707,478161707,way,"342,57"
w478161708,478161708,way,"810,93"
w478161709,478161709,way,"254,48"
w478161710,478161710,way,"202,1"
w478161711,478161711,way,"405,84"
w478162375,478162375,way,"238,14"
w478822307,478822307,way,"2971,23"
w478824512,478824512,way,"114,71"
w482560351,482560351,way,"550,13"
w482560352,482560352,way,"122,21"
w482663195,482663195,way,"215,13"
w482663198,482663198,way,"242,04"
w482663200,482663200,way,"177,37"
w482663203,482663203,way,"224,43"
w482663205,482663205,way,"135,48"
w482663208,482663208,way,"149,57"
w482663209,482663209,way,"145,87"
w482663211,482663211,way,"153,61"
w482663212,482663212,way,"182,06"
w482663220,482663220,way,"239,75"
w482663222,482663222,way,"539,48"
w482663224,482663224,way,"248,09"
w482663226,482663226,way,"497,91"
w482663228,482663228,way,"671,43"
w482663231,482663231,way,"392,02"
w482663236,482663236,way,"319,18"
w482663239,482663239,way,"737,69"
w482663242,482663242,way,"131,25"
w482663245,482663245,way,"124,08"
w482663246,482663246,way,"257,9"
w482663249,482663249,way,"110,02"
w482663286,482663286,way,"380,1"
w482696304,482696304,way,"29,97"
w482696306,482696306,way,"31,94"
w482696448,482696448,way,"32,95"
w482822607,482822607,way,"471,44"
w482822608,482822608,way,"267,8"
w482822609,482822609,way,"277,44"
w482822610,482822610,way,"405,95"
w482822611,482822611,way,"274,48"
w482823212,482823212,way,"485,31"
w482823382,482823382,way,"182,45"
w482823383,482823383,way,"183,55"
w482823384,482823384,way,"274,75"
w482824925,482824925,way,"111,12"
w482824926,482824926,way,"149,56"
w482824929,482824929,way,"46,08"
w482824938,482824938,way,"818,6"
w482824939,482824939,way,"788,68"
w482824941,482824941,way,"527,04"
w482824942,482824942,way,"302,82"
w482825477,482825477,way,"130,93"
w482847061,482847061,way,"188,57"
w482847062,482847062,way,"188,03"
w482847063,482847063,way,"235,83"
w484126501,484126501,way,"437,71"
w484126502,484126502,way,"833,33"
w484126503,484126503,way,"220,44"
w484126505,484126505,way,"531,4"
w484126507,484126507,way,"221,85"
