time,G(i)_East,G(i)_South,G(i)_West,Tot_Production [W/m2]
20190121:1810,0.0,0.0,0.0,0.0
20190121:1910,0.0,0.0,0.0,0.0
20190121:2010,0.0,0.0,0.0,0.0
20190121:2110,0.0,0.0,0.0,0.0
20190121:2210,0.0,0.0,0.0,0.0
20190121:2310,0.0,0.0,0.0,0.0
20190122:0010,0.0,0.0,0.0,0.0
20190122:0110,0.0,0.0,0.0,0.0
20190122:0210,0.0,0.0,0.0,0.0
20190122:0310,0.0,0.0,0.0,0.0
20190122:0410,0.0,0.0,0.0,0.0
20190122:0510,0.0,0.0,0.0,0.0
20190122:0610,0.0,0.0,0.0,0.0
20190122:0710,11.94,11.02,10.93,11.2275
20190122:0810,98.11,96.12,85.66,94.0025
20190122:0910,75.63,69.79,72.18,71.8475
20190122:1010,68.66,63.36,65.53,65.22749999999999
20190122:1110,97.52,89.99,93.07,92.64249999999998
20190122:1210,204.99,203.17,199.1,202.60750000000002
20190122:1310,56.72,52.34,54.13,53.8825
20190122:1410,52.74,48.67,50.33,50.1025
20190122:1510,55.63,79.71,93.45,77.125
20190122:1610,0.0,0.0,0.0,0.0
20190122:1710,0.0,0.0,0.0,0.0
20190122:1810,0.0,0.0,0.0,0.0
20190122:1910,0.0,0.0,0.0,0.0
20190122:2010,0.0,0.0,0.0,0.0
20190122:2110,0.0,0.0,0.0,0.0
20190122:2210,0.0,0.0,0.0,0.0
20190122:2310,0.0,0.0,0.0,0.0
20190123:0010,0.0,0.0,0.0,0.0
20190123:0110,0.0,0.0,0.0,0.0
20190123:0210,0.0,0.0,0.0,0.0
20190123:0310,0.0,0.0,0.0,0.0
20190123:0410,0.0,0.0,0.0,0.0
20190123:0510,0.0,0.0,0.0,0.0
20190123:0610,0.0,0.0,0.0,0.0
20190123:0710,103.89,184.5,37.36,127.5625
20190123:0810,164.3,207.96,109.35,172.39249999999998
20190123:0910,222.06,256.53,172.95,227.01749999999998
20190123:1010,219.76,223.74,201.41,217.1625
20190123:1110,248.01,260.52,234.45,250.875
20190123:1210,115.43,106.52,110.17,109.66
20190123:1310,66.67,61.53,63.63,63.34
20190123:1410,153.74,205.46,207.65,193.0775
20190123:1510,33.72,281.12,390.59,246.6375
20190123:1610,0.0,0.0,0.0,0.0
20190123:1710,0.0,0.0,0.0,0.0
20190123:1810,0.0,0.0,0.0,0.0
20190123:1910,0.0,0.0,0.0,0.0
20190123:2010,0.0,0.0,0.0,0.0
20190123:2110,0.0,0.0,0.0,0.0
20190123:2210,0.0,0.0,0.0,0.0
20190123:2310,0.0,0.0,0.0,0.0
20190124:0010,0.0,0.0,0.0,0.0
20190124:0110,0.0,0.0,0.0,0.0
20190124:0210,0.0,0.0,0.0,0.0
20190124:0310,0.0,0.0,0.0,0.0
20190124:0410,0.0,0.0,0.0,0.0
20190124:0510,0.0,0.0,0.0,0.0
20190124:0610,0.0,0.0,0.0,0.0
20190124:0710,13.93,12.86,12.76,13.1025
20190124:0810,94.57,90.85,83.83,90.02499999999999
20190124:0910,186.14,194.43,160.34,183.835
20190124:1010,123.39,113.87,117.76,117.2225
20190124:1110,65.68,60.61,62.68,62.395
20190124:1210,219.54,221.98,214.29,219.4475
20190124:1310,83.59,77.14,79.77,79.41
20190124:1410,124.79,129.79,133.17,129.385
20190124:1510,46.75,45.97,48.67,46.84
20190124:1610,0.0,0.0,0.0,0.0
20190124:1710,0.0,0.0,0.0,0.0
20190124:1810,0.0,0.0,0.0,0.0
20190124:1910,0.0,0.0,0.0,0.0
20190124:2010,0.0,0.0,0.0,0.0
20190124:2110,0.0,0.0,0.0,0.0
20190124:2210,0.0,0.0,0.0,0.0
20190124:2310,0.0,0.0,0.0,0.0
20190125:0010,0.0,0.0,0.0,0.0
20190125:0110,0.0,0.0,0.0,0.0
20190125:0210,0.0,0.0,0.0,0.0
20190125:0310,0.0,0.0,0.0,0.0
20190125:0410,0.0,0.0,0.0,0.0
20190125:0510,0.0,0.0,0.0,0.0
20190125:0610,0.0,0.0,0.0,0.0
20190125:0710,64.96,90.07,39.18,71.07
20190125:0810,60.7,56.02,55.58,57.08
20190125:0910,120.41,111.11,114.91,114.38499999999999
20190125:1010,184.68,177.01,173.56,178.065
