time,Residential,Industrial,Commercial
20190116:0110,1.0982,4.411,7.2706
20190116:0210,1.0787,4.4584,7.1418
20190116:0310,1.0758,4.6068,7.1227
20190116:0410,1.1005,4.7777,7.2858
20190116:0510,1.1778,5.2159,7.7978
20190116:0610,1.3734,6.0521,9.0926
20190116:0710,1.7419,7.5363,11.5322
20190116:0810,2.1034,10.3785,13.9259
20190116:0910,2.4794,12.283,16.4151
20190116:1010,2.7315,12.6147,18.0846
20190116:1110,2.8528,12.4853,18.8874
20190116:1210,2.8271,11.6857,18.717
20190116:1310,2.7264,11.0153,18.0509
20190116:1410,2.6993,11.5741,17.8711
20190116:1510,2.5646,11.3401,16.9791
20190116:1610,2.4612,11.1124,16.2944
20190116:1710,2.4678,9.5547,16.3385
20190116:1810,2.391,7.9894,15.8298
20190116:1910,2.2263,6.9492,14.7394
20190116:2010,1.9286,5.8049,12.7687
20190116:2110,1.6933,5.1224,11.2108
20190116:2210,1.5284,4.5966,10.1189
20190116:2310,1.3415,4.395,8.8814
20190117:0010,1.176,4.3764,7.7862
20190117:0110,1.0838,4.4322,7.1757
20190117:0210,1.057,4.3871,6.9979
20190117:0310,1.0579,4.5351,7.0038
20190117:0410,1.0749,4.6792,7.1168
20190117:0510,1.1439,5.0857,7.5735
20190117:0610,1.3395,5.8053,8.8684
20190117:0710,1.6917,7.3196,11.2002
20190117:0810,2.0533,10.2333,13.5943
20190117:0910,2.4593,12.1184,16.2819
20190117:1010,2.7267,12.6494,18.0528
20190117:1110,2.8606,12.6377,18.9393
20190117:1210,2.8822,11.9888,19.082
20190117:1310,2.8163,11.3464,18.6454
20190117:1410,2.8121,12.05,18.618
20190117:1510,2.6639,11.7545,17.637
20190117:1610,2.5766,11.412,17.0584
20190117:1710,2.5387,9.8025,16.8078
20190117:1810,2.4865,8.129,16.4623
20190117:1910,2.2901,7.1676,15.1618
20190117:2010,1.9971,5.8686,13.2222
20190117:2110,1.7424,5.1725,11.5359
20190117:2210,1.5632,4.6504,10.3496
20190117:2310,1.3731,4.4876,9.0909
20190118:0010,1.1962,4.3884,7.9193
20190118:0110,1.1062,4.4326,7.3235
20190118:0210,1.0781,4.4034,7.1378
20190118:0310,1.0772,4.5067,7.1316
20190118:0410,1.1,4.6965,7.2827
20190118:0510,1.1799,5.1797,7.8116
20190118:0610,1.3793,5.9162,9.1316
20190118:0710,1.7442,7.5123,11.5478
20190118:0810,2.1193,10.4349,14.0312
20190118:0910,2.5299,12.0712,16.7499
20190118:1010,2.8029,12.3962,18.5573
20190118:1110,2.8889,12.2154,19.1267
20190118:1210,2.8879,11.5835,19.1196
20190118:1310,2.8079,10.9637,18.5903
20190118:1410,2.7847,11.2879,18.4367
20190118:1510,2.6399,11.002,17.4779
20190118:1610,2.5275,10.5114,16.7338
20190118:1710,2.4976,9.089,16.5355
20190118:1810,2.4501,7.839,16.2215
20190118:1910,2.2662,6.8309,15.0037
20190118:2010,1.9907,5.7053,13.1798
20190118:2110,1.7466,4.9185,11.5636
20190118:2210,1.583,4.4783,10.4806
20190118:2310,1.4177,4.2915,9.3858
20190119:0010,1.2413,4.3345,8.2181
20190119:0110,1.1282,4.3606,7.4693
20190119:0210,1.09,4.4235,7.2165
20190119:0310,1.0781,4.4306,7.138
20190119:0410,1.0865,4.5775,7.1934
20190119:0510,1.1327,4.8509,7.4993
20190119:0610,1.2487,5.2202,8.2674
20190119:0710,1.4494,5.7848,9.5958
20190119:0810,1.6101,6.5,10.6598
20190119:0910,1.803,6.7597,11.9369
20190119:1010,2.0055,7.039,13.278
20190119:1110,2.0914,6.9843,13.8467
20190119:1210,2.0913,6.6027,13.8456
20190119:1310,2.0155,6.1176,13.344
20190119:1410,1.9622,5.8418,12.9913
20190119:1510,1.8856,5.7001,12.4838
20190119:1610,1.8253,5.5864,12.0845
20190119:1710,1.879,5.4237,12.4402
20190119:1810,1.9661,5.4004,13.0167
20190119:1910,1.9486,5.1898,12.901
20190119:2010,1.818,4.6846,12.0365
20190119:2110,1.6674,4.3625,11.0392
20190119:2210,1.5652,4.1831,10.3624
20190119:2310,1.4351,4.0835,9.5013
20190120:0010,1.2784,4.051,8.4639
20190120:0110,1.1631,3.9894,7.7004
20190120:0210,1.1084,3.9797,7.3383
20190120:0310,1.0801,3.9663,7.1508
20190120:0410,1.0858,3.9969,7.189
20190120:0510,1.112,4.1519,7.3621
20190120:0610,1.1893,4.3533,7.8737
20190120:0710,1.2928,4.6356,8.5589
20190120:0810,1.3922,5.008,9.2172
20190120:0910,1.5113,5.232,10.0059
20190120:1010,1.6934,5.2981,11.2112
20190120:1110,1.7902,5.3288,11.8521
20190120:1210,1.8097,5.344,11.9814
20190120:1310,1.7678,5.1492,11.7037
20190120:1410,1.7407,5.0536,11.5244
20190120:1510,1.6868,4.9422,11.1677
20190120:1610,1.625,4.9197,10.7583
20190120:1710,1.6624,4.9665,11.0061
20190120:1810,1.766,5.0453,11.6921
20190120:1910,1.766,4.936,11.6919
20190120:2010,1.6478,4.6618,10.9097
20190120:2110,1.5329,4.4927,10.1487
20190120:2210,1.4409,4.3009,9.5395
20190120:2310,1.3099,4.1883,8.6723
20190121:0010,1.1799,4.2681,7.8117
20190121:0110,1.1112,4.4006,7.3571
20190121:0210,1.0993,4.5016,7.2778
20190121:0310,1.1016,4.5537,7.2936
20190121:0410,1.1319,4.7397,7.4941
20190121:0510,1.2124,5.0629,8.0271
20190121:0610,1.419,5.9395,9.3949
20190121:0710,1.7769,7.6872,11.7644
20190121:0810,2.1676,10.687,14.351
20190121:0910,2.5994,12.5596,17.2097
20190121:1010,2.8304,12.945,18.7393
20190121:1110,2.9133,13.1801,19.2878
20190121:1210,2.9068,12.409,19.2447
20190121:1310,2.8162,11.5823,18.6451
20190121:1410,2.7981,12.1693,18.525
20190121:1510,2.6561,11.699,17.5851
20190121:1610,2.5678,11.4097,17.0005
20190121:1710,2.5562,9.8527,16.9235
20190121:1810,2.5048,8.3851,16.5833
20190121:1910,2.3035,7.1806,15.2508
20190121:2010,1.9945,6.1224,13.2047
20190121:2110,1.7286,5.2582,11.4447
20190121:2210,1.5574,4.7483,10.311
20190121:2310,1.3775,4.5912,9.1199
20190122:0010,1.2149,4.6234,8.0436
20190122:0110,1.1452,4.6377,7.5819
20190122:0210,1.1291,4.6053,7.4755
20190122:0310,1.1276,4.765,7.4655
20190122:0410,1.1552,4.9605,7.648
20190122:0510,1.2411,5.3585,8.2168
20190122:0610,1.4518,6.084,9.6119
20190122:0710,1.8238,7.6235,12.075
20190122:0810,2.2095,10.7183,14.6285
20190122:0910,2.6202,12.5371,17.3476
20190122:1010,2.8839,12.9455,19.0936
20190122:1110,2.9589,13.0467,19.59
20190122:1210,2.9589,12.2591,19.5899
20190122:1310,2.8665,11.4888,18.9782
20190122:1410,2.8327,12.0013,18.7544
20190122:1510,2.6835,11.6103,17.7664
20190122:1610,2.6019,11.3324,17.2263
20190122:1710,2.6088,10.0296,17.2722
20190122:1810,2.5785,8.4651,17.0711
20190122:1910,2.4007,7.3811,15.8941
20190122:2010,2.0879,6.1129,13.8235
20190122:2110,1.8098,5.305,11.9823
20190122:2210,1.6302,4.7381,10.7928
20190122:2310,1.4424,4.6229,9.5493
20190123:0010,1.2567,4.6113,8.3205
20190123:0110,1.1766,4.6199,7.7896
20190123:0210,1.1452,4.6857,7.5817
20190123:0310,1.1425,4.823,7.5638
20190123:0410,1.1657,4.9902,7.7177
20190123:0510,1.2517,5.4584,8.287
20190123:0610,1.4499,6.3067,9.5992
20190123:0710,1.8324,7.8766,12.1318
20190123:0810,2.2273,10.8227,14.7465
20190123:0910,2.6482,12.6153,17.5327
20190123:1010,2.9689,13.2053,19.6561
20190123:1110,3.1184,13.2645,20.6461
20190123:1210,3.1016,12.7119,20.5346
20190123:1310,3.0573,12.0111,20.2411
20190123:1410,3.0472,12.5929,20.1747
20190123:1510,2.8945,12.5058,19.1633
20190123:1610,2.7644,11.811,18.3019
20190123:1710,2.7138,10.3821,17.9673
20190123:1810,2.6401,8.7651,17.4794
