time,P,G(i),H_sun,T2m,WS10m,Int
20190112:1610,0.0,0.0,0.0,0.73,0.97,0.0
20190112:1710,0.0,0.0,0.0,0.72,0.9,0.0
20190112:1810,0.0,0.0,0.0,0.25,0.9,0.0
20190112:1910,0.0,0.0,0.0,0.09,0.9,0.0
20190112:2010,0.0,0.0,0.0,-0.05,0.83,0.0
20190112:2110,0.0,0.0,0.0,-0.16,0.69,0.0
20190112:2210,0.0,0.0,0.0,-0.23,0.62,0.0
20190112:2310,0.0,0.0,0.0,-0.35,0.55,0.0
20190113:0010,0.0,0.0,0.0,-0.28,0.28,0.0
20190113:0110,0.0,0.0,0.0,-0.19,0.28,0.0
20190113:0210,0.0,0.0,0.0,0.02,0.41,0.0
20190113:0310,0.0,0.0,0.0,0.07,0.48,0.0
20190113:0410,0.0,0.0,0.0,0.23,0.48,0.0
20190113:0510,0.0,0.0,0.0,0.56,0.48,0.0
20190113:0610,0.0,0.0,0.0,0.82,0.62,0.0
20190113:0710,8.14,19.9,5.1,0.87,0.62,0.0
20190113:0810,139.15,177.53,13.54,1.51,0.48,0.0
20190113:0910,237.06,286.85,20.28,2.38,0.55,0.0
20190113:1010,363.04,433.02,24.76,2.27,0.83,0.0
20190113:1110,325.1,387.8,26.47,2.78,1.17,0.0
20190113:1210,304.71,375.2,25.19,5.58,1.52,0.0
20190113:1310,213.72,283.45,21.08,5.64,1.17,0.0
20190113:1410,84.89,151.04,14.63,5.41,0.9,0.0
20190113:1510,11.31,24.77,6.4,4.82,0.76,0.0
20190113:1610,0.0,0.0,0.0,3.61,0.76,0.0
20190113:1710,0.0,0.0,0.0,3.21,0.62,0.0
20190113:1810,0.0,0.0,0.0,2.57,0.55,0.0
20190113:1910,0.0,0.0,0.0,2.26,0.48,0.0
20190113:2010,0.0,0.0,0.0,1.95,0.48,0.0
20190113:2110,0.0,0.0,0.0,1.65,0.69,0.0
20190113:2210,0.0,0.0,0.0,1.24,0.76,0.0
20190113:2310,0.0,0.0,0.0,1.15,0.83,0.0
20190114:0010,0.0,0.0,0.0,0.89,0.9,0.0
20190114:0110,0.0,0.0,0.0,0.57,0.62,0.0
20190114:0210,0.0,0.0,0.0,0.17,0.55,0.0
20190114:0310,0.0,0.0,0.0,-0.13,0.41,0.0
20190114:0410,0.0,0.0,0.0,-0.53,0.48,0.0
20190114:0510,0.0,0.0,0.0,-0.26,0.48,0.0
20190114:0610,0.0,0.0,0.0,0.01,0.48,0.0
20190114:0710,67.4,108.96,5.18,1.02,0.69,0.0
20190114:0810,58.74,82.69,13.64,1.86,0.69,0.0
20190114:0910,167.85,207.1,20.4,3.08,0.48,0.0
20190114:1010,79.91,107.47,24.91,3.72,0.28,0.0
20190114:1110,314.52,378.94,26.64,4.16,0.62,0.0
20190114:1210,307.78,378.99,25.37,5.09,1.03,0.0
20190114:1310,105.24,136.58,21.27,4.75,1.72,0.0
20190114:1410,86.24,154.19,14.82,5.46,1.52,0.0
20190114:1510,11.28,24.77,6.59,5.21,1.1,0.0
20190114:1610,0.0,0.0,0.0,3.46,1.03,0.0
20190114:1710,0.0,0.0,0.0,3.38,0.9,0.0
20190114:1810,0.0,0.0,0.0,2.35,0.97,0.0
20190114:1910,0.0,0.0,0.0,2.93,0.97,0.0
20190114:2010,0.0,0.0,0.0,2.37,1.03,0.0
20190114:2110,0.0,0.0,0.0,1.88,0.97,0.0
20190114:2210,0.0,0.0,0.0,1.66,0.76,0.0
20190114:2310,0.0,0.0,0.0,1.62,0.69,0.0
20190115:0010,0.0,0.0,0.0,1.47,0.9,0.0
20190115:0110,0.0,0.0,0.0,0.95,1.24,0.0
20190115:0210,0.0,0.0,0.0,0.1,1.38,0.0
20190115:0310,0.0,0.0,0.0,0.36,1.31,0.0
20190115:0410,0.0,0.0,0.0,0.21,1.24,0.0
20190115:0510,0.0,0.0,0.0,-0.38,1.24,0.0
20190115:0610,0.0,0.0,0.0,-0.75,1.24,0.0
20190115:0710,84.37,133.4,5.26,-0.76,1.03,0.0
20190115:0810,243.56,303.76,13.74,-0.35,1.03,0.0
20190115:0910,351.24,421.39,20.53,1.54,1.1,0.0
20190115:1010,397.49,475.87,25.06,3.13,0.97,0.0
20190115:1110,396.46,477.49,26.82,3.97,1.1,0.0
20190115:1210,336.65,413.99,25.57,4.57,1.38,0.0
20190115:1310,229.67,304.5,21.47,4.67,1.59,0.0
20190115:1410,90.45,159.27,15.02,4.34,1.38,0.0
20190115:1510,12.09,25.76,6.78,3.65,0.9,0.0
20190115:1610,0.0,0.0,0.0,2.5,0.62,0.0
